channel,process,systematic,bin,sum_w,sum_ww
controlregion,ttbar,jesDown,11,9.118084036995372,0.17764841133698675
controlregion,ttbar,jesDown,12,6.7606306855499865,0.13171794601268033
controlregion,ttbar,jesDown,13,5.221466927168289,0.10173028683400095
controlregion,ttbar,jesDown,14,3.6433369976883214,0.07098344641029171
controlregion,ttbar,jesDown,15,2.63021654913328,0.051244734039515405
controlregion,ttbar,jesDown,16,2.279521009248843,0.04441210283424669
controlregion,ttbar,jesDown,17,1.9872747260118115,0.03871824349652275
controlregion,ttbar,jesDown,18,1.2274343895955306,0.023914209218440525
controlregion,ttbar,jesDown,19,0.0,0.0
controlregion,ttbar,jesUp,0,1053.956995866029,20.534334315567595
controlregion,ttbar,jesUp,1,621.7442260440091,12.113495945696412
controlregion,ttbar,jesUp,2,378.12772433762,7.367094801769741
controlregion,ttbar,jesUp,3,230.5433513029193,4.491695836219154
controlregion,ttbar,jesUp,4,145.96727693412248,2.8438929438818477
controlregion,ttbar,jesUp,5,96.59713815261335,1.8820103064290177
controlregion,ttbar,jesUp,6,65.85282915607768,1.2830163041004599
controlregion,ttbar,jesUp,7,44.05125642659516,0.8582543975062543
controlregion,ttbar,jesUp,8,30.607927397691725,0.5963368679709534
controlregion,ttbar,jesUp,9,21.25604633410673,0.41413336916378746
controlregion,ttbar,jesUp,10,15.0214589583834,0.29266436995901024
controlregion,ttbar,jesUp,11,10.403967683238308,0.20270139242297205
controlregion,ttbar,jesUp,12,7.851683476301569,0.15297502087351636
controlregion,ttbar,jesUp,13,5.416297782659643,0.10552619305915024
controlregion,ttbar,jesUp,14,4.149897221965842,0.08085280259567987
controlregion,ttbar,jesUp,15,2.8834966612720403,0.056179412132209484
controlregion,ttbar,jesUp,16,2.299004094797978,0.044791693456761615
controlregion,ttbar,jesUp,17,2.0846901537574887,0.0406161966090974
controlregion,ttbar,jesUp,18,1.5196806728325618,0.029608068556164456
controlregion,ttbar,jesUp,19,0.0,0.0
controlregion,ttbar,nominal,0,1014.0556366613997,19.756932720657023
controlregion,ttbar,nominal,1,597.0981228243528,11.633313808215027
controlregion,ttbar,nominal,2,362.8140190959996,7.068736572473007
controlregion,ttbar,nominal,3,221.5226826936696,4.315945377994742
controlregion,ttbar,nominal,4,140.39511446706976,2.735330025842578
controlregion,ttbar,nominal,5,93.07069966821985,1.8133044037538155
controlregion,ttbar,nominal,6,63.885037515615004,1.244677651226452
controlregion,ttbar,nominal,7,41.49897221965842,0.8085280259567986
controlregion,ttbar,nominal,8,28.659618842778187,0.5583778057194605
controlregion,ttbar,nominal,9,20.78845228092748,0.4050231942234292
controlregion,ttbar,nominal,10,14.33955096416366,0.2793786981709877
controlregion,ttbar,nominal,11,9.780508945665975,0.19055449250249434
controlregion,ttbar,nominal,12,7.267190909827507,0.1415873021980685
controlregion,ttbar,nominal,13,5.416297782659643,0.10552619305915024
controlregion,ttbar,nominal,14,3.8966171098270816,0.0759181245029858
controlregion,ttbar,nominal,15,2.7471150624280924,0.053522277774604984
controlregion,ttbar,nominal,16,2.240554838150572,0.043652921589216825
controlregion,ttbar,nominal,17,2.0262408971100823,0.03947742474155261
controlregion,ttbar,nominal,18,1.3443329028903432,0.026191752953530097
controlregion,ttbar,nominal,19,0.0,0.0
controlregion,wjets,jesDown,0,12888.553590467587,8398.544600553867
controlregion,wjets,jesDown,1,7686.6059028846585,5008.808944240529
controlregion,wjets,jesDown,2,4689.76794532561,3055.9849077398344
controlregion,wjets,jesDown,3,2846.311850101745,1854.7369844390157
controlregion,wjets,jesDown,4,1759.3960611892655,1146.4720370845564
controlregion,wjets,jesDown,5,1143.6074397730226,745.2068241049617
controlregion,wjets,jesDown,6,712.2295906962472,464.1088653827482
